127.0.0.1, 2013-01-20 23:18:23, GET, /welcome/static/js/rtc.js, HTTP/1.1, 200, 0.001000
127.0.0.1, 2013-01-20 23:19:11, GET, /welcome/static/images/glyphicons-halflings.png, HTTP/1.1, 200, 0.001000
127.0.0.1, 2013-01-20 23:19:11, GET, /welcome/static/images/glyphicons-halflings-white.png, HTTP/1.1, 200, 0.001000
127.0.0.1, 2013-01-20 23:23:53, POST, /admin/default/edit/welcome/static/js/rtc.js, HTTP/1.1, 200, 0.071000
127.0.0.1, 2013-01-20 23:23:55, GET, /welcome/webrtc/index, HTTP/1.1, 200, 0.070000
127.0.0.1, 2013-01-20 23:23:55, GET, /welcome/static/js/rtc.js, HTTP/1.1, 200, 0.001000
127.0.0.1, 2013-01-20 23:24:33, POST, /admin/default/edit/welcome/static/js/rtc.js, HTTP/1.1, 200, 0.071000
127.0.0.1, 2013-01-20 23:24:48, POST, /admin/default/edit/welcome/static/js/rtc.js, HTTP/1.1, 200, 0.066000
127.0.0.1, 2013-01-20 23:25:20, POST, /admin/default/edit/welcome/static/js/rtc.js, HTTP/1.1, 200, 0.076000
127.0.0.1, 2013-01-20 23:25:22, GET, /welcome/webrtc/index, HTTP/1.1, 200, 0.066000
127.0.0.1, 2013-01-20 23:25:23, GET, /welcome/static/js/rtc.js, HTTP/1.1, 200, 0.001000
127.0.0.1, 2013-01-20 23:25:49, POST, /admin/default/edit/welcome/static/js/rtc.js, HTTP/1.1, 200, 0.090000
127.0.0.1, 2013-01-20 23:25:50, GET, /welcome/webrtc/index, HTTP/1.1, 200, 0.050000
127.0.0.1, 2013-01-20 23:25:51, GET, /welcome/static/js/rtc.js, HTTP/1.1, 200, 0.000000
127.0.0.1, 2013-01-20 23:27:08, POST, /admin/default/edit/welcome/static/js/rtc.js, HTTP/1.1, 200, 0.076000
127.0.0.1, 2013-01-20 23:27:10, GET, /welcome/webrtc/index, HTTP/1.1, 200, 0.075000
127.0.0.1, 2013-01-20 23:27:11, GET, /welcome/static/js/rtc.js, HTTP/1.1, 200, 0.001000
127.0.0.1, 2013-01-20 23:29:28, POST, /admin/default/edit/welcome/static/js/rtc.js, HTTP/1.1, 200, 0.065000
127.0.0.1, 2013-01-20 23:29:34, POST, /admin/default/edit/welcome/static/js/rtc.js, HTTP/1.1, 200, 0.068000
127.0.0.1, 2013-01-20 23:29:45, POST, /admin/default/edit/welcome/static/js/rtc.js, HTTP/1.1, 200, 0.059000
127.0.0.1, 2013-01-20 23:29:53, GET, /welcome/webrtc/index, HTTP/1.1, 200, 0.054000
127.0.0.1, 2013-01-20 23:29:53, GET, /welcome/static/js/rtc.js, HTTP/1.1, 200, 0.000000
127.0.0.1, 2013-01-20 23:31:03, GET, /welcome/webrtc/index, HTTP/1.1, 200, 0.060000
127.0.0.1, 2013-01-20 23:31:04, GET, /welcome/static/js/rtc.js, HTTP/1.1, 304, 0.000000
127.0.0.1, 2013-01-20 23:35:03, POST, /admin/default/edit/welcome/static/js/rtc.js, HTTP/1.1, 200, 0.072000
127.0.0.1, 2013-01-20 23:35:06, GET, /welcome/webrtc/index, HTTP/1.1, 200, 0.058000
127.0.0.1, 2013-01-20 23:35:06, GET, /welcome/static/js/rtc.js, HTTP/1.1, 200, 0.001000
127.0.0.1, 2013-01-20 23:37:11, POST, /admin/default/edit/welcome/static/js/rtc.js, HTTP/1.1, 200, 0.093000
127.0.0.1, 2013-01-20 23:37:16, GET, /welcome/webrtc/index, HTTP/1.1, 200, 0.117000
127.0.0.1, 2013-01-20 23:37:16, GET, /welcome/static/js/rtc.js, HTTP/1.1, 200, 0.001000
127.0.0.1, 2013-01-20 23:43:26, POST, /admin/default/edit/welcome/static/js/rtc.js, HTTP/1.1, 200, 0.080000
127.0.0.1, 2013-01-20 23:43:46, GET, /welcome/webrtc/index, HTTP/1.1, 200, 0.066000
127.0.0.1, 2013-01-20 23:43:46, GET, /welcome/static/js/rtc.js, HTTP/1.1, 200, 0.001000
127.0.0.1, 2013-01-20 23:46:07, POST, /admin/default/edit/welcome/static/js/rtc.js, HTTP/1.1, 200, 0.081000
127.0.0.1, 2013-01-20 23:46:09, GET, /welcome/webrtc/index, HTTP/1.1, 200, 0.059000
127.0.0.1, 2013-01-20 23:46:10, GET, /welcome/static/js/rtc.js, HTTP/1.1, 200, 0.001000
127.0.0.1, 2013-01-20 23:48:08, POST, /admin/default/edit/welcome/static/js/rtc.js, HTTP/1.1, 200, 0.088000
